eat_type,usefuless
"Яблоко",1
"Банан",1
"Груша",1
"Овсянка",1
"Гречка",1
"Куриная грудка",1
"Рыба",1
"Огурец",1
"Помидор",1
"Салат",1
"Брокколи",1
"Морковь",1
"Орехи",1 
"Авокадо",1 
"Кефир",1 
"Йогурт",1
"Яйцо",1 
"Сыр",1 
"Апельсин",1 
"Лосось",1 
"Чечевица",1 
"Фасоль",1 
"Творог",1 
"Капуста",1
"Кабачок",1
"Шпинат",1 
"Чай зеленый",1 
"Суп овощной",1 
"Смузи",1 
"Мед",1 
"Чеснок",1
"Имбирь",1
"Перец болгарский",1 
"Кукуруза",1 
"Сельдерей",1 
"Редис",1 
"Киви",1 
"Гранат",1
"Персик",1 
"Малина",1
"Клубника",1 
"Черника",1
"Грецкие орехи",1 
"Миндаль",1 
"Фисташки",1
"Чай травяной",1 
"Грибы",1 
"Тыква",1 
"Рис бурый",1 
"Булгур",1
"Бургер",0 
"Хот-дог",0 
"Пицца",0 
"Шаурма",0 
"Картошка фри",0 
"Наггетсы",0 
"Чипсы",0 
"Кока-кола",0
"Пончики",0 
"Суши с майонезом",0 
"Кебаб",0 
"Гамбургер",0 
"Чизбургер",0
"Пирожок",0 
"Фастфуд-ролл",0 
"Сэндвич с колбасой",0 
"Пицца Пепперони",0 
"Сода",0 
"Энергетик",0
"Лапша быстрого приготовления",0 
"Куриные крылышки KFC",0 
"Мороженое",0 
"Милкшейк",0
"Пицца с сыром",0 
"Тако",0 
"Начос",0 
"Чизкейк",0 
"Чизстейк",0
"Кукурузные хлопья сладкие",0
"Кока-кола Zero",0 
"Фанта",0
"Спрайт",0 
"Сэндвич с майонезом",0 
"Чипсы Pringles",0
"Пончики с начинкой",0 
"Сухарики",0 
"Пицца 4 сыра",0 
"Сосиска в тесте",0 
"Пицца с ананасами",0
"Пицца BBQ",0 
"Сырный соус",0 
"Соус барбекю",0 
"Соус чесночный",0 
"Сладкая газировка",0
"Пицца с колбасой",0 
"Куриный бургер",0 
"Фастфуд-салат",0 
"Шоколадный маффин",0 
"Пицца Маргарита",0
"Гамбургер",0
"Салат",1 
"Чипсы",0 
"Фалафель",0 
"Яблоко",1
"Творог",1 
"Картофель фри",0 
"Орехи",1 
"Авокадо",1 
"Пончики",0 
"Хот-дог",0
"Кебаб",0 
"Капуста",1 
"Овсяная каша",1 
"Банан",1 
"Наггетсы",0 
"Творог с яблоком",1 
"Творог с бананом",1 
"Овощи",1 
"Капуста брокколи",1 
"Салат из капусты",1 
"Каша",1
"Гречневая каша",1 
"Овощной салат с капустой и творогом и баноном и яблоком и салатом",1 
"Корн-дог",0
"Френч-дог",0
"Картошка по деревенски",0
"Жаренный картофель",0
"Салат из овощей с авокадо",1
"Фрукты",1
"Апельсиновый сок",1
"Овощной салат из помидоров, огурцов и сметаны",1